Run,treatment
SRR26830900,DMSO
SRR26830901,DMSO
SRR26830904,DMSO
SRR26830905,DMSO
SRR26830908,DMSO
SRR26830909,DMSO
SRR26830912,DMSO
SRR26830913,DMSO
SRR26830916,DMSO
SRR26830917,DMSO
SRR26830920,DMSO
SRR26830921,DMSO
SRR26830928,DMSO
SRR26830929,DMSO
SRR26830932,DMSO
SRR26830933,DMSO
SRR26830936,Abemaciclib
SRR26830937,Abemaciclib
SRR26830938,DMSO
SRR26830939,DMSO
SRR26830940,Abemaciclib
SRR26830941,Abemaciclib
SRR26830942,DMSO
SRR26830943,DMSO
SRR26830948,Abemaciclib
SRR26830949,Abemaciclib
SRR26830950,DMSO
SRR26830951,DMSO
SRR26830952,DMSO
SRR26830953,DMSO
SRR26830954,Abemaciclib
SRR26830955,Abemaciclib
SRR26830956,DMSO
SRR26830957,DMSO
SRR26830958,Abemaciclib
SRR26830959,Abemaciclib
