Run,Assay Type,AvgSpotLen,Bases,batch,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,treatment
SRR26830900,RNA-Seq,300,10893332100,3,PRJNA1040329,SAMN38256934,3591172368,"SARAH J. HILL, MEDICAL ONCOLOGY, DANA-FARBER CANCER INSTITUTE",missing,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX22526896,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7900866,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-01-22T00:00:00Z,2023-11-15T00:00:00Z,1,GSM7900866,Endometrial Cancer,SRP471911,Endometrial Cancer,DMSO
SRR26830901,RNA-Seq,300,8027272800,3,PRJNA1040329,SAMN38256935,2666467348,"SARAH J. HILL, MEDICAL ONCOLOGY, DANA-FARBER CANCER INSTITUTE",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX22526895,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7900865,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-01-22T00:00:00Z,2023-11-15T00:15:00Z,1,GSM7900865,Endometrial Cancer,SRP471911,Endometrial Cancer,DMSO
SRR26830904,RNA-Seq,300,9352169400,3,PRJNA1040329,SAMN38256938,3120750281,"SARAH J. HILL, MEDICAL ONCOLOGY, DANA-FARBER CANCER INSTITUTE",missing,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX22526892,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7900862,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-01-22T00:00:00Z,2023-11-15T00:00:00Z,1,GSM7900862,Endometrial Cancer,SRP471911,Endometrial Cancer,DMSO
SRR26830905,RNA-Seq,300,6927470100,3,PRJNA1040329,SAMN38256939,2332401708,"SARAH J. HILL, MEDICAL ONCOLOGY, DANA-FARBER CANCER INSTITUTE",missing,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX22526891,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7900861,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-01-22T00:00:00Z,2023-11-15T00:02:00Z,1,GSM7900861,Endometrial Cancer,SRP471911,Endometrial Cancer,DMSO
SRR26830908,RNA-Seq,300,8424973500,3,PRJNA1040329,SAMN38256942,2776356296,"SARAH J. HILL, MEDICAL ONCOLOGY, DANA-FARBER CANCER INSTITUTE",missing,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX22526888,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7900858,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-01-22T00:00:00Z,2023-11-15T00:02:00Z,1,GSM7900858,Endometrial Cancer,SRP471911,Endometrial Cancer,DMSO
SRR26830909,RNA-Seq,300,9176823000,3,PRJNA1040329,SAMN38256943,3008260618,"SARAH J. HILL, MEDICAL ONCOLOGY, DANA-FARBER CANCER INSTITUTE",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX22526887,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7900857,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-01-22T00:00:00Z,2023-11-15T00:03:00Z,1,GSM7900857,Endometrial Cancer,SRP471911,Endometrial Cancer,DMSO
SRR26830912,RNA-Seq,300,8882342100,3,PRJNA1040329,SAMN38256946,2963642467,"SARAH J. HILL, MEDICAL ONCOLOGY, DANA-FARBER CANCER INSTITUTE",missing,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX22526884,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7900854,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-01-22T00:00:00Z,2023-11-15T00:02:00Z,1,GSM7900854,Endometrial Cancer,SRP471911,Endometrial Cancer,DMSO
SRR26830913,RNA-Seq,300,9102261300,3,PRJNA1040329,SAMN38256947,3039602716,"SARAH J. HILL, MEDICAL ONCOLOGY, DANA-FARBER CANCER INSTITUTE",missing,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX22526883,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7900853,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-01-22T00:00:00Z,2023-11-15T00:05:00Z,1,GSM7900853,Endometrial Cancer,SRP471911,Endometrial Cancer,DMSO
SRR26830916,RNA-Seq,300,7559826000,3,PRJNA1040329,SAMN38256950,2527293496,"SARAH J. HILL, MEDICAL ONCOLOGY, DANA-FARBER CANCER INSTITUTE",missing,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX22526880,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7900850,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-01-22T00:00:00Z,2023-11-14T23:59:00Z,1,GSM7900850,Endometrial Cancer,SRP471911,Endometrial Cancer,DMSO
SRR26830917,RNA-Seq,300,7107684900,3,PRJNA1040329,SAMN38256951,2349937222,"SARAH J. HILL, MEDICAL ONCOLOGY, DANA-FARBER CANCER INSTITUTE",missing,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX22526879,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7900849,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-01-22T00:00:00Z,2023-11-14T23:59:00Z,1,GSM7900849,Endometrial Cancer,SRP471911,Endometrial Cancer,DMSO
