"Gene","Module"
"FAM98A","darkslateblue"
"GGH","midnightblue"
"PRELID2","lightyellow"
"SLC35F6","green"
"SLC41A1","pink"
"ZFYVE19","brown"
"RPL12","salmon"
"AKR7A3","yellow"
"APOBEC3H","blue"
"PLEKHA6","skyblue"
"GRIA4","yellow"
"DNAH5","red"
"SRP68","tan"
"OR52I2","grey"
"PRODH2","green"
"SBSPON","plum1"
"ASPH","cyan"
"C19orf55","turquoise"
"RBM7","yellow"
"GPR87","brown"
"DLEC1","red"
"SCOC","lightcyan"
"KIAA0195","saddlebrown"
"INHBE","grey"
"NXPH3","darkturquoise"
"TMEM88","midnightblue"
"CUL4B","orange"
"SRSF5","turquoise"
"FLVCR1","darkgreen"
"FNTA","purple"
"DKKL1","grey"
"C12orf44","magenta"
"LGR4","floralwhite"
"PLD4","grey"
"TTL","blue"
"ETS1","paleturquoise"
"CYP39A1","blue"
"ATP1A2","grey"
"C1orf134","orange"
"PI16","tan"
"THRAP3","yellow"
"CWC22","darkgreen"
"NACAD","turquoise"
"GPR124","purple"
"LIN7B","midnightblue"
"SMARCA4","lightcyan"
"CBX6","brown"
"TOMM70A","royalblue"
"GPR141","yellow"
"CCDC93","brown"
"CCDC68","skyblue"
"RPS6KA5","red"
"HRH2","turquoise"
"ZBTB43","brown"
"MAP1S","yellow"
"KHDC3L","magenta"
"CEP152","black"
"F2R","orange"
"NENF","grey"
"AC120194.1","midnightblue"
"SLC35A3","blue"
"TMEM257","thistle2"
"PXMP4","green"
"KIAA0319","midnightblue"
"CRYBB3","turquoise"
"MKNK2","brown"
"CEACAM3","yellow"
"WBSCR17","turquoise"
"FANCB","red"
"POM121C","cyan"
"CEP97","yellow"
"TPMT","grey60"
"PPIP5K1","yellow"
"DCLK3","grey"
"PLEKHO2","darkgreen"
"GCH1","black"
"AMOT","turquoise"
"FBXL16","floralwhite"
"VILL","salmon"
"XCL1","yellow"
"LRRC53","darkorange"
"NAT6","purple"
"BRAF","purple"
"CEP70","mediumpurple3"
"HYAL1","yellow"
"STARD9","blue"
"PRNP","blue"
"HDHD3","brown"
"TMEM63B","orange"
"TDRD12","sienna3"
"ACBD4","red"
"NTRK2","turquoise"
"SNX6","green"
"ACP1","turquoise"
"XPO4","green"
"ATP6V0A1","pink"
"DCX","pink"
"HTRA4","grey"
"YIPF3","salmon"
"DNAJB1","yellow"
"SERBP1","salmon"
"FCGR1A","blue"
"OGFRL1","green"
"HRCT1","darkgreen"
"UNC13C","darkturquoise"
"FIS1","grey"
"LLGL2","turquoise"
"GPT2","lightyellow"
"C9orf57","grey"
"AIF1L","darkred"
"SLC38A8","purple"
"AC010327.2","lightsteelblue1"
"PTPN5","pink"
"SSBP4","mediumpurple3"
"AARS","lightsteelblue1"
"AMT","turquoise"
"ATP13A5","pink"
"TIRAP","steelblue"
"PCDHGA5","blue"
"PIGL","turquoise"
"RPTOR","turquoise"
"PCDH11X","tan"
"SPHK2","greenyellow"
"SLC4A5","darkgreen"
"PRTN3","floralwhite"
"DKFZP434E1119","lightyellow"
"TSPAN31","blue"
"ERGIC3","turquoise"
"RPL10","lightyellow"
"SNTG1","grey"
"MLXIP","tan"
"TPH1","grey"
"PITHD1","turquoise"
"UNC13A","purple"
"FREM3","tan"
"TUBB1","darkturquoise"
"CXorf57","lightsteelblue1"
"TSPAN4","brown"
"KLHL2","magenta"
"ANKLE2","magenta"
"PAGE1","tan"
"C1QTNF4","grey"
"FAR1","tan"
"RASD2","turquoise"
"PRB4","grey"
"CIAPIN1","blue"
"KIF17","tan"
"BCKDK","royalblue"
"RP11-144F15.1","lightgreen"
"MAP3K7","yellow"
"COL25A1","tan"
"TET3","turquoise"
"HLA-DRB5","blue"
"FAM170B","grey"
"DRP2","turquoise"
"TSPAN10","lightcyan1"
"ZNF703","red"
"C8orf56","green"
"RUFY4","turquoise"
"GDE1","lightcyan"
"SLC20A2","black"
"TMEM154","turquoise"
"OR2T33","navajowhite2"
"RARA","pink"
"CCDC60","grey"
"PLA2G5","thistle2"
"TRIM49C","magenta"
"ORC2","black"
"OR2A7","salmon"
"CXCL6","turquoise"
"ZNF567","magenta"
"XRCC3","lightsteelblue1"
"BCL7B","purple"
"RUNDC1","red"
"HIST1H2AJ","blue"
"CNOT10","black"
"CKAP5","lightgreen"
"ZNF804B","darkorange2"
"ZMAT4","turquoise"
"CSNK2A1","blue"
"BCL7A","purple"
"LRP5L","green"
"BCL2L10","turquoise"
"FLVCR2","orangered4"
"DLGAP4","pink"
"PIAS4","darkgrey"
"ZC3H6","purple"
"VASH2","skyblue"
"FAT1","midnightblue"
"ZBTB26","pink"
"C20orf26","brown"
"EIF4EBP1","plum1"
"MDGA2","green"
"KCNE1","brown"
"COMMD4","black"
"RTN4IP1","lightyellow"
"NPR3","purple"
"KRTAP10-10","darkorange2"
"CTD-3203P2.2","grey"
"FAM32A","yellow"
"MYO19","pink"
"ZFP91","turquoise"
"ZNF485","turquoise"
"PRDM6","violet"
"ATF6B","grey60"
"ADCY3","red"
"TMEM252","brown"
"KIAA0922","black"
"AKR1B10","grey"
"RPS29","magenta"
"ARFRP1","skyblue3"
"AC104472.1","grey"
"CNDP1","turquoise"
"ATP10D","green"
"SPPL2A","grey60"
"ATP5G1","turquoise"
"CLPX","tan"
"NPIPB5","grey"
"EIF4E2","plum2"
"C4orf26","grey"
"KLHL18","turquoise"
"CD72","salmon"
"CTDSPL2","salmon"
"ZKSCAN5","lightpink4"
"DDX53","tan"
"QTRT1","lightcyan"
"KLRC1","grey"
"SUPT7L","brown"
"SLC29A4","cyan"
"ALG10","salmon"
"PFKFB2","blue"
"CYTL1","greenyellow"
"GRK4","skyblue"
"ANTXR1","lightcyan1"
"ELMSAN1","red"
"VPS37C","greenyellow"
"C15orf61","turquoise"
"P2RY4","magenta"
"EGR3","yellow"
"NAA50","salmon"
"C12orf73","magenta"
"DDX26B","cyan"
"SH3GL3","green"
"PPP2CB","green"
"IDE","black"
"TNFRSF11B","black"
"CDH5","purple"
"TCEB1","black"
"MRPL45","pink"
"BSPRY","turquoise"
"MAGEB10","blue"
"COQ4","brown"
"FAM71E1","magenta"
"MARCH3","skyblue3"
"C14orf64","pink"
"THEM6","lightyellow"
"NDUFA9","brown"
"CCDC14","grey60"
"FGFR3","brown"
"BAG3","red"
"ZNF79","black"
"STT3B","green"
"PDCD4","steelblue"
"TMBIM6","skyblue"
"CHCHD4","black"
"GP5","grey"
"C16orf90","grey"
"CD55","turquoise"
"YIPF7","black"
"PLEKHA1","red"
"CCDC163P","greenyellow"
"KRTAP5-9","turquoise"
"CCDC178","purple"
"ZNF280B","skyblue"
"ATP2A2","blue"
"CAMK2G","darkgrey"
"RDH16","yellow"
"RPL11","darkred"
"LRRC57","greenyellow"
"CTC-454I21.3","maroon"
"T","pink"
"AMELX","grey"
"AGPS","plum2"
"NUTM2G","orangered4"
"ZC3H3","pink"
"ALDH3B1","darkgreen"
"MCU","black"
"THOP1","turquoise"
"PARP15","darkorange"
"APOBEC3F","turquoise"
"APEH","white"
"TLE4","greenyellow"
"UBAP2","lightcyan"
"COQ9","lightgreen"
"TMEM121","cyan"
"CNTRL","lightcyan"
"GSG1L","turquoise"
"TCP10L","turquoise"
"C11orf49","turquoise"
"CCDC71L","brown"
"PCDHGA8","brown"
"SH3TC2","green"
"MCC","purple"
"MANEA","yellow"
"CDC42EP5","darkolivegreen"
"FLRT2","greenyellow"
"SLC25A27","brown"
"RGS10","darkslateblue"
"ASCL5","turquoise"
"CTD-3088G3.8","yellow"
"TGFBR3L","cyan"
"FAM124B","darkorange2"
"MCMDC2","steelblue"
"TTC39A","blue"
"CATSPERG","royalblue"
"CGB2","grey60"
"MIB2","black"
"RGS1","turquoise"
"ACOT12","grey"
"CTGF","magenta"
"PSMB3","pink"
"PAXBP1","cyan"
"PPP1R3F","greenyellow"
"FAM118B","plum1"
"FAM196A","red"
"ANKS1B","pink"
"C7orf69","midnightblue"
"QSOX2","brown"
"ZNF711","green"
"SAPCD2","red"
"C12orf66","green"
"NDST4","palevioletred3"
"RABEP2","brown"
"OLIG2","midnightblue"
"ZNF280A","turquoise"
"RP11-766F14.2","thistle1"
"ASB4","midnightblue"
"STK11","yellow"
"ZNF610","grey"
"PRDM16","cyan"
"ZDHHC14","green"
"SLCO6A1","honeydew1"
"TRPC7","midnightblue"
"TOMM6","turquoise"
"RHOB","grey60"
"GLB1L","skyblue"
"POU3F4","grey"
"KDELR1","white"
"CPT1B","black"
"TMSB10","turquoise"
"COX16","darkolivegreen"
"CTTNBP2NL","turquoise"
"VOPP1","black"
"UBE4A","grey"
"SLC15A1","turquoise"
"FBXO36","blue"
"RTKN","yellow"
"GLIPR1","grey"
"KRT75","magenta"
"SCRN1","pink"
"SLC43A2","orange"
"KIF4A","lightgreen"
"AC127496.1","blue"
"MVD","red"
"FHL1","red"
"METTL1","turquoise"
"SLC35F1","turquoise"
"WNT9A","steelblue"
"MGARP","grey"
"CHRM4","yellow"
"HSPA4","salmon"
"BTN3A3","turquoise"
"RFX6","tan"
"BZRAP1","turquoise"
"RNF168","lightgreen"
"HRASLS","purple"
"NXNL2","paleturquoise"
"CAMKV","darkgreen"
"PSMG3","grey"
"TPSAB1","midnightblue"
"CNTN2","grey"
"CD209","magenta"
"AL391421.1","brown"
"DOCK8","brown"
"ZNF77","turquoise"
"CTDP1","grey60"
"SMAP2","blue"
"NCAPD2","lightgreen"
"TRIM9","midnightblue"
"ETV5","royalblue"
"IST1","turquoise"
"CCT2","blue"
"EDN2","greenyellow"
"SERPINF2","turquoise"
"STX3","black"
"AGTR1","yellow"
"TCN2","darkgrey"
"PRAM1","grey"
"PHYKPL","darkslateblue"
"EXOC1","darkturquoise"
"SPATA17","blue"
"LONRF1","lightyellow"
"METTL21B","cyan"
"OCM","grey"
"KLHL38","grey"
"TIGIT","turquoise"
"TSGA13","magenta"
"FRG2B","palevioletred3"
"ALDOA","grey"
"GOLGA8F","grey"
"DNAJC30","turquoise"
"AC135983.2","grey"
